iso3,age,subject,value,year,subject_label
NOR,Y9,SLAN,4.4247,2023,Second language
ISL,Y13,SSCI,8.10811,2023,Social sciences
CRI,Y13,OLAN,7.14286,2023,Other languages
TUR,Y15,MATH,15.0,2023,Mathematics
KOR,Y11,MATH,12.5,2023,Mathematics
LTU,Y13,NSCI,12.89732,2023,Natural sciences
HUN,Y14,PHED,14.70588,2023,Physical education and health
LVA,Y8,PHED,11.42857,2023,Physical education and health
IRL,Y9,READ,20.0,2023,"Reading, writing and literature"
IRL,Y10,NSCI,4.0,2023,Natural sciences
SVK,Y10,PHED,7.40741,2023,Physical education and health
TUR,Y13,SLAN,11.39926,2023,Second language
FRA,Y12,ARTS,7.53138,2023,Arts
CRI,Y6,MATH,18.60465,2023,Mathematics
HRV,Y9,SLAN,11.11111,2023,Second language
DNK,Y11,ARTS,8.03571,2023,Arts
EST,Y12,PHED,9.63855,2023,Physical education and health
OECD,Y13,SSCI,10.01319,2023,Social sciences
TUR,Y8,READ,26.66667,2023,"Reading, writing and literature"
BGR,Y14,SSCI,9.05707,2023,Social sciences
HUN,Y15,SLAN,8.82353,2023,Second language
ISR,Y11,READ,26.74677,2023,"Reading, writing and literature"
ISR,Y15,PHED,5.22508,2023,Physical education and health
BGR,Y13,NSCI,15.87302,2023,Natural sciences
BGR,Y15,PHED,6.25,2023,Physical education and health
JPN,Y14,ARTS,6.55738,2023,Arts
EU25,Y9,NSCI,6.80285,2023,Natural sciences
ISR,Y13,NSCI,12.96296,2023,Natural sciences
JPN,Y12,SLAN,13.11475,2023,Second language
LVA,Y7,MATH,17.14286,2023,Mathematics
BGR,Y11,READ,17.18756,2023,"Reading, writing and literature"
FRA,Y13,MATH,13.01653,2023,Mathematics
EST,Y14,SLAN,9.57447,2023,Second language
TUR,Y10,SSCI,8.53971,2023,Social sciences
BFR,Y12,MATH,13.33333,2023,Mathematics
DEU,Y13,SSCI,12.52468,2022,Social sciences
ROU,Y12,SLAN,7.40741,2023,Second language
BFR,Y10,SLAN,7.14286,2023,Second language
DNK,Y14,PHED,5.0,2023,Physical education and health
POL,Y10,SLAN,12.5,2023,Second language
POL,Y12,MATH,16.0,2023,Mathematics
SVK,Y13,ARTS,6.66667,2023,Arts
CZE,Y12,SSCI,9.01639,2023,Social sciences
ESP,Y9,NSCI,7.58878,2023,Natural sciences
FRA,Y7,NSCI,6.25,2023,Natural sciences
NOR,Y6,SSCI,7.05387,2023,Social sciences
OECD,Y11,READ,18.30934,2023,"Reading, writing and literature"
AUT,Y11,SSCI,9.67742,2023,Social sciences
LUX,Y6,ARTS,10.71429,2023,Arts
HUN,Y14,NSCI,17.64706,2023,Natural sciences
ISL,Y15,SSCI,8.10811,2023,Social sciences
DNK,Y13,READ,17.5,2023,"Reading, writing and literature"
LUX,Y10,ARTS,10.71429,2023,Arts
FIN,Y13,OLAN,4.70588,2023,Other languages
KOR,Y11,ARTS,12.5,2023,Arts
ISL,Y9,SSCI,12.08384,2023,Social sciences
SVK,Y12,READ,13.33333,2023,"Reading, writing and literature"
DEU,Y8,READ,24.96427,2022,"Reading, writing and literature"
LTU,Y13,MATH,12.89732,2023,Mathematics
ESP,Y14,SLAN,11.0785,2023,Second language
TUR,Y7,READ,33.33333,2023,"Reading, writing and literature"
LTU,Y16,MATH,12.52627,2023,Mathematics
POL,Y14,PHED,12.78671,2023,Physical education and health
ITA,Y11,OLAN,6.66667,2023,Other languages
CHL,Y6,NSCI,8.79835,2023,Natural sciences
IRL,Y11,SLAN,14.0,2023,Second language
SVN,Y9,NSCI,9.28948,2023,Natural sciences
LUX,Y14,SSCI,10.0,2023,Social sciences
ESP,Y7,SSCI,7.1456,2023,Social sciences
SVK,Y10,SLAN,11.11111,2023,Second language
SVK,Y12,MATH,13.33333,2023,Mathematics
ISR,Y15,SLAN,13.06271,2023,Second language
ROU,Y15,ARTS,4.87635,2023,Arts
SVK,Y6,READ,40.90909,2023,"Reading, writing and literature"
HUN,Y14,SLAN,8.82353,2023,Second language
EU25,Y15,PHED,7.38522,2023,Physical education and health
HRV,Y8,PHED,16.66667,2023,Physical education and health
FIN,Y17,SSCI,10.66667,2023,Social sciences
CZE,Y13,ARTS,8.19672,2023,Arts
EST,Y15,NSCI,21.2766,2023,Natural sciences
BGR,Y13,MATH,15.87302,2023,Mathematics
OECD,Y14,MATH,12.15299,2023,Mathematics
ROU,Y16,NSCI,19.85371,2023,Natural sciences
SVN,Y9,SLAN,7.65016,2023,Second language
ESP,Y6,PHED,10.67473,2023,Physical education and health
BFR,Y14,PHED,7.14286,2023,Physical education and health
ISR,Y15,NSCI,5.93511,2023,Natural sciences
CRI,Y16,MATH,11.36364,2023,Mathematics
TUR,Y7,MATH,16.66667,2023,Mathematics
LTU,Y16,READ,15.11054,2023,"Reading, writing and literature"
IRL,Y8,SSCI,8.0,2023,Social sciences
